city,lng,lat,temp,hum,cld,wnd
new glasgow,-62.6486,45.5834,43.92,100,100,19.57
sao tome,6.7273,0.3365,81.19,77,7,5.17
corlatel,22.9331,44.3986,53.51,60,6,7.4
mbinga,35.0167,-10.9333,68.0,94,75,3.27
jouy-le-moutier,2.0403,49.0107,40.21,75,0,12.66
pennsville,-75.5166,39.6535,52.27,47,1,12.66
kalmthout,4.4742,51.3846,38.64,80,1,4.61
schlieren,8.4476,47.3967,42.06,56,0,6.91
taupo,176.0833,-38.6833,52.0,72,24,1.99
geri,33.4167,35.1,69.21,63,0,12.66
clejani,25.6994,44.3197,52.29,58,0,10.36
belfort,6.8667,47.6333,40.89,87,0,2.3
fort lauderdale,-80.1434,26.1223,77.31,83,1,9.22
razlog,23.4671,41.8863,52.11,51,1,1.25
canby,-122.6926,45.2629,49.95,62,90,4.61
poncitlan,-102.9167,20.3667,72.25,31,40,5.75
taytay,121.1394,14.5678,84.22,66,75,13.8
guane,-84.0875,22.2025,73.31,91,7,2.66
lernanist,44.7924,40.4678,68.0,42,20,9.4
termiz,67.2783,37.2242,82.4,18,0,4.61
villmergen,8.2458,47.3492,43.29,59,100,1.01
apricena,15.4437,41.7839,48.2,87,0,3.44
rizia,26.4333,41.6167,48.0,76,0,3.71
terrassa,2.0167,41.5667,57.13,58,0,4.61
tweed,-77.3162,44.4751,33.48,64,9,3.0
glenvar heights,-80.3256,25.7076,77.18,83,1,6.91
neosho,-94.368,36.869,61.84,56,0,5.01
evangelista,121.0972,13.3335,84.99,63,53,10.0
nova floresta,-36.2033,-6.4553,66.52,97,39,9.48
san francisco zapotitlan,-91.5167,14.5833,62.64,97,85,1.99
mahmudabad,81.1167,27.3,96.8,23,0,9.22
prusanky,16.9807,48.8284,40.21,70,0,2.3
salaberry-de-valleyfield,-74.1325,45.2501,35.38,60,66,13.8
ban bung,100.7044,18.3081,87.64,66,0,3.44
seduva,23.7667,55.7667,35.6,80,90,10.36
abhar,49.218,36.1468,74.61,14,36,8.01
ponferrada,-6.5962,42.5466,48.99,99,81,2.1
mabai,104.4508,23.0128,67.15,85,99,5.19
tangping,111.9323,22.0265,74.62,87,100,8.08
socond,22.95,47.5667,42.89,75,0,8.05
canecas,-9.2268,38.8132,57.38,94,75,8.05
filipestii de padure,25.75,45.0,53.01,72,8,1.01
woodlyn,-75.3371,39.8723,51.94,47,1,20.71
sobotin,17.0913,50.0104,31.87,67,20,1.77
lira,32.9097,2.235,66.15,95,99,2.66
kato milea,22.3378,40.2483,54.68,78,3,2.24
coari,-63.1414,-4.085,73.67,97,80,1.3
tsurugi,136.6333,36.45,56.46,23,20,18.41
narayanganj,90.5011,23.6233,91.4,52,0,5.75
zhirnovsk,44.7735,50.9845,48.52,49,100,5.64
chvaletice,15.4185,50.0344,35.74,75,0,0.38
yovon,69.0378,38.3141,80.51,27,17,6.71
itoman,127.6694,26.1247,76.96,53,20,11.5
angatel,120.3431,15.8057,92.32,43,81,8.19
afonso claudio,-41.1239,-20.0742,66.99,95,96,0.78
kalamia,20.9317,39.1656,60.57,88,20,4.61
chukhloma,42.6825,58.7525,34.39,96,100,10.89
leonforte,14.4007,37.6443,53.22,91,58,11.99
beyla,-8.6333,8.6833,67.95,86,100,3.18
camias,120.9651,15.1736,87.8,58,75,9.22
bamberg,10.8863,49.8795,38.3,72,95,6.64
tumbes,-80.4414,-3.5667,74.37,83,64,1.88
west haven,-72.9471,41.2706,52.11,54,1,14.97
kazo,139.6,36.1167,65.53,24,1,23.02
bosanski novi,16.3803,45.0458,55.0,15,100,1.99
barisal,90.3711,22.7019,102.92,20,2,6.44
saint-ghislain,3.8189,50.4482,38.1,87,0,9.22
rancho mirage,-116.4128,33.7397,65.52,37,1,17.27
bolshevo,37.83,55.9349,40.08,65,0,17.9
san isidro,-77.05,-12.1167,63.14,88,40,2.3
blyznyuky,36.5551,48.8578,50.56,42,87,7.94
san miguel siguila,-91.6167,14.9,60.22,46,82,1.99
borinskoye,39.3713,52.4569,42.28,53,38,5.14
entre rios,-38.0844,-11.9419,70.18,97,91,1.92
afaahiti,-149.2833,-17.75,80.29,74,20,4.61
spolaita,21.3464,38.6966,58.95,88,20,4.61
slanic-moldova,26.4333,46.2,38.32,87,75,11.5
kauhajoki,22.1833,62.4333,32.68,93,75,9.22
fontainebleau,2.6903,48.4044,40.66,75,0,5.75
tres coracoes,-45.2533,-21.6969,56.03,82,56,1.63
cottonwood heights,-111.8102,40.6197,47.7,87,40,6.91
pine bluff,-92.0032,34.2284,57.09,77,1,4.61
assentoft,10.1517,56.4421,33.08,86,17,4.61
lyubytino,33.3922,58.8122,35.08,96,100,9.31
nazare,-39.0144,-13.035,71.65,95,82,1.52
wuxi,120.2886,31.5689,71.96,51,71,9.75
darwen,-2.4649,53.698,35.69,83,31,2.17
farap,63.6116,39.1704,78.8,22,0,13.8
navotas,121.2268,14.4167,83.35,69,89,17.0
lamian,124.8464,6.3092,89.6,51,40,9.22
koygorodok,50.9968,60.445,34.54,92,100,6.24
bhairab bazar,90.9667,24.0667,98.6,32,1,3.44
san felix,-58.1333,-32.3333,53.02,92,55,1.01
jasdan,71.2,22.0333,98.01,28,1,8.7
krasnaya gora,31.6023,52.9995,33.8,80,0,6.71
surkhakhi,44.9019,43.1875,53.31,82,75,4.47
cegled,19.7995,47.1727,44.02,49,0,6.91
belyy,32.9419,55.8402,36.84,68,36,8.48
khekra,77.2833,28.8667,95.0,12,0,4.61
xiamen,118.0819,24.4798,80.6,54,40,11.18
fabiansebestyen,20.4667,46.6833,45.77,49,0,6.91
kirkenes,30.0458,69.7271,29.12,74,0,6.91
franca,-47.4008,-20.5386,58.41,46,28,3.94
san lazzaro di savena,11.414,44.4678,52.2,81,0,4.61
mondovi,7.8176,44.396,52.81,87,90,4.61
ghatampur,80.1667,26.1667,102.25,6,16,8.16
hashtgerd,50.6858,35.9642,77.0,25,40,11.5
wolfville,-64.3655,45.0835,45.07,93,100,6.91
methana,23.3914,37.5823,58.37,56,5,1.99
zipacon,-74.3802,4.7588,57.2,94,75,3.44
wynyard,145.7167,-41.0,57.0,71,39,18.01
maceira,-8.8942,39.6885,55.58,88,40,4.61
vakhrushevo,61.7173,55.2317,50.0,34,0,17.9
kankon,74.0167,15.0167,89.6,66,20,6.91
toyos,-87.65,15.55,75.99,87,78,1.03
lijesnica,18.0742,44.4942,44.31,76,0,2.3
tomiya,140.8861,38.3931,57.2,23,40,12.66
vendychany,27.7932,48.6118,37.99,87,85,6.26
casay,123.5496,9.8204,89.6,70,20,11.5
nyzhni petrivtsi,25.7233,48.0285,38.17,93,75,8.95
bassano,-112.4685,50.7834,30.22,86,100,5.75
babag,126.0708,7.7311,83.82,79,100,3.85
barra bonita,-48.5581,-22.4947,71.01,68,99,3.0
los ranchos de albuquerque,-106.6428,35.162,61.95,10,1,12.66
hyeres,6.1167,43.1167,54.99,76,0,6.91
mitchelstown,-8.2681,52.2658,39.16,81,20,6.91
sacele,25.6943,45.6174,38.05,77,25,3.0
el cobre,-75.9469,20.0489,73.4,94,40,6.91
el segundo,-118.4165,33.9192,56.71,58,90,18.41
grenoble,5.8333,45.0833,50.74,74,100,5.99
ridgecrest,-117.6709,35.6225,54.41,44,1,21.85
zgierz,19.4062,51.8556,35.64,69,20,6.91
stolbishche,49.216,55.6468,42.8,45,75,20.13
tlalmanalco,-98.8,19.2167,68.0,52,40,5.75
panama city,-79.5197,8.9936,76.84,83,75,5.75
lofos,22.3797,40.2447,54.66,97,3,3.0
wipperfurth,7.4,51.1167,36.37,60,52,3.36
teocelo,-96.9667,19.3833,66.18,85,88,3.56
rocky river,-81.8393,41.4756,36.75,70,20,5.75
agria,20.3733,47.9026,42.6,65,5,0.74
caribou,-68.012,46.8606,43.81,76,90,5.75
sakhnovshchyna,35.872,49.1517,50.65,50,83,11.45
chandbali,86.7667,20.7833,103.71,20,3,10.27
kapelle-op-den-bos,4.3667,51.0167,37.71,87,0,2.3
nisshin,136.964,35.1658,66.15,34,20,5.75
sumber,108.4831,-6.7603,86.81,62,15,7.05
glogova,22.9067,44.9281,54.36,53,16,5.84
sint-martens-latem,3.6227,51.0084,39.33,83,0,1.99
antipovka,45.3122,49.8299,50.47,44,100,6.26
carpi,10.8777,44.7824,54.03,76,100,4.27
perg,14.6333,48.25,40.69,60,0,6.91
aguas formosas,-40.9358,-17.0822,67.71,92,56,2.06
greeneville,-82.831,36.1632,43.11,81,75,2.48
bananeiras,-35.6333,-6.75,66.56,96,37,5.68
odivelas,-9.1838,38.7927,56.64,94,75,8.05
alesd,22.4167,47.0667,42.91,61,0,8.05
ipua,-48.0122,-20.4381,61.92,48,32,3.74
lanivtsi,26.0908,49.8633,37.85,64,97,9.31
rumphi,33.8575,-11.0186,69.49,83,41,3.6
oarja,24.9752,44.7579,53.08,65,9,6.85
sabinas,-101.1167,27.85,75.63,42,90,21.3
hefei,117.2808,31.8639,61.39,88,90,6.71
le gosier,-61.4933,16.2069,73.4,83,0,4.61
barberton,31.0532,-25.7884,59.0,82,0,3.44
lalmohan,90.7419,22.3384,92.88,42,1,10.94
vershino-shakhtaminskiy,117.8868,51.3012,60.66,27,92,11.45
barsinghausen,9.4561,52.3105,37.44,74,20,1.14
verkhneye kazanishche,47.1378,42.7355,62.29,67,100,15.66
rocca priora,12.7482,41.7786,52.11,66,0,1.14
tetange,6.0422,49.4758,38.57,72,58,7.0
saint-chamond,4.5254,45.4737,51.4,82,0,1.14
sao domingos do prata,-42.9683,-19.865,62.83,90,91,1.95
barranca,-77.7667,-10.75,65.03,90,50,5.46
ryomgard,10.503,56.3843,33.93,86,19,4.61
ayutinskiy,40.14,47.77,46.4,81,40,11.18
piove di sacco,12.0368,45.2977,57.0,74,100,9.01
amantea,16.0746,39.1332,53.02,93,54,6.91
shirokaya rechka,60.4852,56.7986,46.4,46,0,20.13
trzin,14.5667,46.1333,46.18,61,75,4.61
takikawa,141.9064,43.5528,41.7,65,75,2.3
alajuelita,-84.1004,9.9016,67.24,73,20,4.61
courbevoie,2.2567,48.8967,42.33,65,0,17.27
tran,22.6517,42.8353,49.64,80,1,1.21
pihuamo,-103.3828,19.2499,67.53,65,46,1.32
guerande,-2.4283,47.3291,48.61,57,0,12.66
chase,-119.6857,50.8165,38.39,53,100,3.44
pachora,75.35,20.6667,101.59,9,66,5.46
san manuel chaparron,-89.7667,14.5167,71.56,72,90,4.09
lysa nad labem,14.8328,50.2014,33.35,86,0,2.3
rameswaram,79.3,9.2833,84.47,72,17,10.18
minna,6.5569,9.6139,76.71,79,100,3.85
kaz,87.3105,52.9113,48.27,58,100,3.51
dadu,67.7763,26.7329,105.13,10,3,5.88
konza,37.1294,-1.7426,63.59,94,75,3.89
irgakly,44.7556,44.3611,56.53,65,100,11.7
chengdu,104.0667,30.6667,75.43,56,40,2.24
casa nova,-41.1333,-9.4167,77.0,88,0,3.44
huangyan,121.2594,28.6478,70.74,55,37,7.11
bakchar,82.0711,57.0186,48.97,72,100,7.47
swetes,-61.8,17.05,77.0,73,40,9.22
san pancrazio salentino,17.8305,40.4191,53.37,93,0,3.44
kall,6.55,50.55,35.02,77,18,3.8
rosia,24.3167,45.8167,44.8,87,20,3.44
montevista,125.9889,7.6933,84.74,74,100,4.61
pianoro,11.3423,44.393,52.12,81,0,4.61
arnia,74.8,32.5167,87.8,29,0,3.0
sutesti,27.4333,45.2167,49.14,74,28,11.74
agoura hills,-118.7745,34.1364,51.57,85,100,6.91
dumfries,-77.328,38.5676,48.43,81,1,10.36
potanino,61.6222,55.1786,50.0,34,0,17.9
metaxades,26.225,41.4204,46.4,81,0,3.44
regen,13.1333,48.9667,35.35,64,100,2.55
saga,130.2988,33.2493,67.62,24,0,11.5
pescantina,10.8685,45.4837,52.95,55,75,9.22
iraga,121.6546,17.7015,86.25,54,50,9.75
salingogon,123.1905,13.4346,84.63,61,43,5.84
rusape,32.1284,-18.5278,67.87,53,4,1.92
pechora,57.2244,65.1472,45.18,68,100,4.56
langenselbold,9.04,50.1766,37.74,63,54,1.01
gulod,121.2177,14.3449,84.34,69,88,17.0
yecla,-1.1147,38.6137,53.1,90,100,4.21
bwanga,31.7601,-3.0308,64.13,95,100,3.69
anjad,75.05,22.0333,100.92,7,45,3.83
sapoca,26.75,45.25,42.39,72,9,1.01
assare,-39.875,-6.8744,68.31,92,87,2.64
louiseville,-72.9415,46.2559,38.75,70,95,21.85
athboy,-6.9206,53.6186,35.47,93,0,3.44
singaraja,115.0882,-8.112,86.31,63,4,2.8
sapang dalaga,123.5624,8.5399,85.62,61,90,2.89
winona,-91.7668,43.9666,44.85,57,40,10.36
consdorf,6.3383,49.7731,37.45,65,0,14.97
tonshayevo,47.0127,57.736,34.02,96,100,15.48
bandung,107.6186,-6.9039,82.99,57,20,3.0
shelbyville,-86.4603,35.4834,44.94,93,1,3.44
blizhne-pesochnoye,42.1015,55.3456,41.81,57,9,14.34
oranzherei,47.5663,45.8476,50.0,62,75,15.66
mauren,9.5442,47.218,42.89,80,100,0.63
nikolayevskaya,41.5023,47.6139,43.5,91,100,11.07
rapperswil,8.8223,47.2256,42.73,69,100,2.01
naraina,75.2,26.7833,95.0,8,20,4.61
gedo,37.45,9.0167,53.42,89,100,2.1
shivrajpur,73.65,22.4167,96.8,26,35,2.3
suphan buri,100.1222,14.4742,95.36,58,97,7.83
sirajganj,89.7167,24.45,91.2,46,7,8.79
cruz alta,-53.6064,-28.6386,55.4,88,0,3.44
sagasa,122.8953,10.4692,86.59,62,65,8.84
tavarede,-8.8457,40.1708,54.72,88,40,4.61
telde,-15.4192,27.9924,62.76,77,40,5.75
tutubigan,125.0614,11.8397,80.91,76,65,2.08
wajir,40.0573,1.7471,80.6,78,75,8.05
kokemaki,22.3564,61.2565,35.33,87,90,10.36
port elgin,-64.0868,46.0487,44.38,93,100,9.22
platnirovskaya,39.3842,45.3953,48.42,87,75,6.71
harahan,-90.2031,29.9405,63.46,72,1,3.24
maryborough,152.7,-25.5333,75.99,61,39,5.01
nagydorog,18.6556,46.6275,48.0,40,64,3.0
krasnyy tkach,39.0802,55.4721,41.0,56,0,8.95
examilia,22.9333,37.9,61.0,53,9,1.99
labod,17.4542,46.2053,42.33,75,0,5.75
prokuplje,21.5881,43.2342,44.6,65,0,2.3
zavety ilicha,140.2494,49.0294,42.51,43,71,7.52
alsonemedi,19.1584,47.3152,44.46,60,0,2.3
horasan,42.1728,40.0458,65.37,39,100,19.19
capela,-37.0528,-10.5033,78.8,83,20,4.61
gamboma,15.8644,-1.8764,75.51,87,87,1.43
bhiwani,76.1333,28.7833,99.99,6,0,7.23
kambove,26.5969,-10.8764,64.09,78,81,4.34
ruda slaska,18.8563,50.2584,37.13,72,45,1.99
wojkowice,19.0365,50.3651,37.22,70,56,1.01
malhador,-37.3047,-10.6578,78.8,83,20,4.61
cavallino,18.2004,40.3125,44.6,93,0,3.44
tonosho,134.1833,34.4833,63.48,33,0,4.61
santarem,-54.7083,-2.4431,75.2,100,75,6.91
tampico,-97.85,22.2167,75.99,97,100,7.0
san pedro buenavista,-93.1167,16.0833,78.8,69,1,11.5
hrastnik,15.0814,46.1461,46.22,71,100,1.01
scurtu mare,25.2667,44.35,51.94,58,0,10.36
saint-jean-de-braye,1.9771,47.913,42.35,70,0,14.97
padinska skela,20.4303,44.9392,46.62,81,0,9.22
sao miguel do tapuio,-41.3233,-5.5036,70.88,88,97,2.77
schijndel,5.4319,51.6225,35.96,80,19,3.44
sofiyivka,33.8746,48.0493,46.2,61,40,8.95
hadsund,10.1168,56.7148,34.7,90,18,4.5
gilbues,-45.3439,-9.8317,70.84,90,100,1.45
char bhadrasan,90.2167,23.3167,91.4,52,1,5.75
pak chong,101.4161,14.708,95.0,62,88,5.5
sitapur,80.6833,27.5667,102.49,4,0,11.16
urkarakh,47.6307,42.163,61.29,46,99,3.02
tiffin,-83.178,41.1145,38.62,83,74,9.51
ayrum,44.9014,41.1898,62.6,82,0,3.44
tsalenjikha,42.0682,42.6044,53.6,87,90,4.61
berliste,21.4631,44.9867,46.8,87,40,4.61
beamsville,-79.4829,43.1668,34.29,60,33,14.97
nizhniy bestyakh,129.9086,61.9594,44.6,57,0,6.04
patea,174.4833,-39.7583,53.2,83,48,1.99
ierissos,23.8833,40.4,57.02,73,2,3.0
caldas de vizela,-8.3089,41.3821,53.31,91,83,2.82
staraya sunzha,45.7422,43.3372,57.2,77,40,8.95
sikandarpur,84.05,26.05,102.24,4,16,4.61
fukuyama,133.3667,34.4833,62.33,41,0,8.05
tepecik,28.5498,41.0293,52.43,71,40,13.8
rethimnon,24.4714,35.3647,61.11,72,0,10.0
tessenderlo,5.0867,51.0655,37.31,80,75,5.75
silvan,41.0081,38.1419,77.0,38,75,4.61
deori,82.6167,21.45,105.82,7,44,2.46
tinde,33.2,-3.8833,69.42,81,81,3.33
rancho santa margarita,-117.6031,33.6409,55.85,86,99,1.01
nagai,140.035,38.1036,55.09,30,40,12.66
punta,125.34,8.9897,85.5,65,82,9.82
ruma,19.8222,45.0081,48.04,67,71,7.29
tremembe,-45.5494,-22.9583,62.01,87,98,1.07
jand,72.0193,33.4299,90.66,15,2,3.83
carmo do rio verde,-49.7075,-15.3536,67.68,76,96,1.19
kavos,22.8322,38.8268,50.7,93,0,1.1
gubskaya,40.6358,44.3164,50.79,83,98,2.89
carmen de apicala,-74.7201,4.1473,72.82,91,99,3.44
oyotun,-79.3036,-6.8519,72.79,81,57,1.5
tlatenchi,-99.2,18.5833,81.0,47,99,2.26
stans,8.366,46.9585,44.53,61,20,1.14
marcovia,-87.3097,13.2881,81.43,74,7,2.64
novopokrovskaya,40.7006,45.9514,48.0,82,100,10.98
barkhan,69.5256,29.8977,87.06,15,0,9.17
caraga,125.7417,9.0,83.66,64,94,1.54
walsrode,9.6,52.8667,30.83,69,75,1.14
laurel,-76.8483,39.0993,52.21,57,1,6.91
tigre,-58.5796,-34.426,54.82,94,7,3.44
karamursel,29.6157,40.6914,48.81,81,40,12.66
belousovka,82.5239,50.1339,60.8,20,40,6.71
orcotuna,-75.3333,-11.9667,47.39,86,94,0.74
tayturka,103.4608,52.8692,43.92,55,76,19.01
bulacnin,121.1411,13.9858,84.34,69,75,17.0
podebrady,15.1188,50.1424,35.87,75,0,1.14
nyekladhaza,20.8333,47.9833,42.15,63,4,5.37
francistown,27.5079,-21.17,44.6,76,0,2.3
enying,18.242,46.9305,48.0,40,72,3.0
pompeia,-50.1717,-22.1086,66.97,57,97,4.34
babrala,78.4,28.2667,101.52,5,0,10.04
merghindeal,24.7333,45.9667,44.74,87,20,3.44
roebourne,117.1333,-20.7833,87.62,22,0,13.09
sihora,80.1167,23.4833,89.6,20,40,11.5
cuci,24.15,46.4667,43.47,70,20,3.44
bondo,23.6866,3.8146,69.75,96,100,2.98
abomsa,39.9833,9.9833,72.25,65,100,3.94
dahod,74.2667,22.8333,101.21,8,29,4.9
devesel,22.6672,44.4689,54.43,61,13,6.51
marl,7.0833,51.65,37.74,68,51,7.0
heidenreichstein,15.1167,48.8667,35.06,91,95,3.0
kolga,25.6192,59.4867,35.8,100,90,5.75
lourdes,-0.05,43.1,55.4,88,0,5.75
parang,124.2697,7.3704,87.19,60,80,7.18
gouvieux,2.4144,49.1871,40.82,70,0,18.41
mariinskiy posad,47.718,56.115,42.8,52,20,29.08
sarramea,165.8452,-21.6421,77.0,69,75,9.22
tublay,120.6096,16.5431,74.1,68,69,0.81
bijar,47.6051,35.8668,70.23,20,15,8.79
gavrilov posad,40.1175,56.5597,39.22,68,99,16.93
kireyevsk,37.9279,53.9336,39.85,57,17,9.6
bongabong,125.8734,7.2224,89.6,62,75,5.75
yakeshi,120.7333,49.2833,62.69,39,100,17.18
cavite,120.9169,14.4825,84.76,66,75,13.8
gorakhpur,75.6833,29.45,100.45,7,0,7.45
dillon,-79.3712,34.4166,49.68,87,1,6.51
harrisburg,-76.8844,40.2737,47.68,40,1,17.27
poeni,22.9,46.9167,42.89,70,20,18.41
karagaylinskiy,86.5521,54.172,48.61,52,100,7.4
pestovo,35.8024,58.5938,34.25,97,100,10.2
priseaca,24.45,44.5167,44.6,81,0,6.91
luwingu,29.9271,-10.2621,65.88,81,80,7.67
sertanopolis,-51.0364,-23.0586,66.2,82,0,4.61
feucht,11.2139,49.3767,38.82,65,0,3.44
nikolayevka,47.2041,53.1257,47.23,54,32,14.12
bugaan,120.9361,14.0399,84.33,69,60,17.0
parkhill,-81.6831,43.1501,28.35,79,34,6.8
willowmore,23.4895,-33.2926,68.97,28,100,3.91
studena,15.2869,49.1852,37.29,48,72,3.0
sao geraldo do araguaia,-48.555,-6.4006,72.59,97,100,1.59
cazin,15.9431,44.9669,51.64,15,100,1.99
kalandagan,124.7233,6.6786,91.62,52,49,2.86
laagri,24.6142,59.3508,35.24,100,90,5.75
cernusco sul naviglio,9.3334,45.5272,57.96,55,40,8.05
tugbong,124.6,11.0167,85.68,67,30,1.57
tambacounda,-13.7586,13.7539,82.4,24,0,4.61
gardenstown,-2.336,57.671,45.28,75,100,4.27
ertil,40.8056,51.8406,44.74,62,83,3.38
nowa deba,21.7508,50.4297,36.88,69,0,6.91
valley station,-85.8702,38.1112,48.04,66,1,3.91
zapote,-102.8,21.0667,71.51,32,36,6.31
shizilu,118.8289,35.1711,53.92,96,100,6.71
yuzhnouralsk,61.2536,54.4418,49.46,33,1,16.8
aranyosapati,22.2592,48.206,38.05,93,0,4.47
bacuyangan,122.4721,9.637,84.6,69,79,8.12
miami,-80.1937,25.7743,77.38,83,1,6.91
bertogne,5.6669,50.0836,35.64,76,2,5.99
siegen,8.0333,50.8667,34.39,67,33,4.68
kafr abil,35.6694,32.4175,66.96,55,18,25.32
agvali,46.1197,42.5385,67.82,59,48,8.48
madarounfa,7.156,13.3087,83.14,44,43,6.89
alatri,13.3402,41.7306,49.48,93,91,2.3
kotelniki,37.8445,55.6355,39.81,56,0,8.95
that phanom,104.7104,16.9364,93.2,52,40,2.3
ryazan,39.74,54.6197,41.0,49,3,12.68
drugovo,20.9233,41.4842,50.0,76,0,2.3
guhagar,73.1929,17.4842,91.35,56,91,7.14
viet tri,105.4308,21.3019,77.0,94,40,6.91
clonakilty,-8.8706,51.6231,42.53,81,20,6.91
norrtalje,18.705,59.758,34.07,69,20,12.66
tenosique,-91.4333,17.4833,79.88,80,71,5.01
macvanska mitrovica,19.5981,44.9656,50.0,67,70,6.93
la florida,-77.4061,1.2985,55.49,92,99,3.87
vrani,21.4925,45.0383,46.63,87,40,4.61
matipo,-42.3411,-20.2839,64.08,88,90,2.82
tyniste nad orlici,16.0777,50.1514,38.46,100,31,1.01
petrovskoye,39.2693,57.0104,38.23,75,100,15.88
reckange-sur-mess,6.0089,49.5625,38.37,65,0,14.97
huarmey,-78.1522,-10.0681,66.9,87,14,7.54
pamantingan,124.4589,6.7044,85.86,59,63,2.8
xuddur,43.8894,4.1213,81.5,60,99,11.77
zelenogorsk,94.5861,56.1147,38.34,95,97,9.28
ilobu,4.4833,7.8333,72.32,92,100,3.38
contadero,-77.5473,0.907,51.75,96,96,3.2
sankt valentin,14.5167,48.1667,40.69,60,0,6.91
chiquilistlan,-103.8167,20.2,73.4,31,40,5.75
maglavit,23.1,44.0333,54.77,55,3,6.58
utmanzai,71.7629,34.188,87.8,27,0,4.61
horni jiretin,13.5472,50.5731,32.47,69,28,3.0
casas adobes,-110.9951,32.3234,71.31,16,100,1.01
moyale,39.0584,3.5167,71.98,74,61,7.74
maydolong,125.5011,11.4992,81.37,70,10,10.83
sarande,20.0053,39.8756,53.91,94,0,2.3
rauseni,27.2,47.5667,39.0,86,100,10.0
domsod,19.0111,47.0901,44.56,60,0,2.3
guasdualito,-70.7324,7.2424,77.0,94,58,1.14
zarcero,-84.3908,10.1856,67.28,73,20,4.61
ieper,2.8857,50.8511,37.29,88,0,9.91
santa isabel do para,-48.1606,-1.2986,77.0,94,75,2.3
necaxa,-98.0,20.2167,65.93,93,100,1.43
majene,118.9707,-3.5403,87.42,61,93,8.01
yenotayevka,47.0281,47.2456,46.99,77,100,1.01
vilani,26.9245,56.5525,35.38,80,98,9.91
buzoesti,24.9167,44.5833,53.02,66,11,7.18
urazovka,45.6186,55.4013,41.95,52,5,22.15
nuevo laredo,-99.5164,27.4763,75.2,64,1,16.11
bandipur,84.4167,27.9333,92.62,7,0,5.66
varias,20.95,46.0167,43.97,65,0,10.36
dehu,73.7667,18.7167,94.96,24,53,2.71
itarana,-40.8753,-19.8739,69.17,96,89,0.87
mainpuri,79.0167,27.2333,102.31,3,0,9.98
langholm,-2.9989,55.151,39.85,76,79,3.51
golub-dobrzyn,19.0538,53.1109,35.01,75,28,1.99
